Index,Subindex,Objectname,Datatype,Access,Defaultvalue,Variable,LowLimit,HighLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,ImplementationType,Size
0x1a05,0x03,Transmit PDO Mapping Parameter Mapping Entry 3,UNSIGNED32,const,550305808,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a05,0x04,Transmit PDO Mapping Parameter Mapping Entry 4,UNSIGNED32,const,551878672,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a06,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,const,4,NONE,0,255,yes,no,no,no,1,ManagedConst,0
0x1a06,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,const,550436880,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a06,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,const,550502416,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a06,0x03,Transmit PDO Mapping Parameter Mapping Entry 3,UNSIGNED32,const,541261840,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a06,0x04,Transmit PDO Mapping Parameter Mapping Entry 4,UNSIGNED32,const,540999696,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a07,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,const,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0
0x1a07,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,const,537067552,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a07,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,const,537329696,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1f51,0x00,Program Control Number of entries,UNSIGNED8,ro,1,NONE,0,255,yes,no,no,no,1,ManagedConst,0
0x1f51,0x01,Program Control Program Control,UNSIGNED8,rw,1,NONE,0,2,yes,yes,no,no,1,ManagedVariable,0
 
0x2003,0x00,AnalogIn1,UNSIGNED32,ro,0,AnalogIn1,0,0,no,no,no,no,0,Variable,0
0x2005,0x00,AdcCutoff1,INTEGER16,rw,0,AdcCutoff1,0,0,no,no,no,no,1,Variable,0
0x2006,0x00,AdcOffset1,INTEGER32,rw,0,AdcOffset1,0,0,no,no,no,no,1,Variable,0
0x2007,0x00,AnalogIn2,UNSIGNED32,ro,0,AnalogIn2,0,0,no,no,no,no,0,Variable,0
0x2009,0x00,AdcCutoff2,INTEGER16,rw,0,AdcCutoff2,0,0,no,no,no,no,1,Variable,0
0x200a,0x00,AdcOffset2,INTEGER32,rw,0,AdcOffset2,0,0,no,no,no,no,1,Variable,0
0x200b,0x00,AdcFilt12,INTEGER16,rw,0,AdcFilt12,0,0,no,no,no,no,1,Variable,0
0x200d,0x00,ascii_user,INTEGER32,rw,0,ascii_user,0,0,no,no,no,no,1,Variable,0
0x200e,0x00,ballast_count,UNSIGNED32,ro,0,ballast_count,0,0,no,no,no,no,0,Variable,0
0x2015,0x00,NodeId,INTEGER16,rw,0,UserCanID_rx,0,0,no,no,no,no,1,Variable,0
0x201b,0x00,capture.buff_src_max,INTEGER16,rw,0,capture.buff_src_max,0,0,no,no,no,no,1,Variable,0
0x201c,0x00,capture.buff_src_max,INTEGER16,rw,0,capture.buff_src_max,0,0,no,no,no,no,1,Variable,0
0x201e,0x00,capture.skip_n,INTEGER16,rw,0,capture.skip_n,0,0,no,no,no,no,1,Variable,0
0x201f,0x00,capture.skip_n,INTEGER16,rw,0,capture.skip_n,0,0,no,no,no,no,1,Variable,0
0x2020,0x00,capture.trigger_edge,INTEGER16,rw,0,capture.trigger_edge,0,0,no,no,no,no,1,Variable,0
0x2021,0x00,capture.trigger_level,INTEGER16,rw,0,capture.trigger_level,0,0,no,no,no,no,1,Variable,0
0x2022,0x00,capture.trigger_src,INTEGER16,rw,0,capture.trigger_src,0,0,no,no,no,no,1,Variable,0
0x2023,0x00,CommandSource.all,UNSIGNED16,rw,0,CommandSource.all,0,0,no,no,no,no,1,Variable,0
0x2024,0x00,DefineUserPin_dac,INTEGER16,rw,0,DefineUserPin_dac,0,0,no,no,no,no,1,Variable,0
0x2025,0x00,DefineLogicPin_din1,INTEGER16,rw,0,DefineLogicPin_din1,0,0,no,no,no,no,1,Variable,0
0x2026,0x00,DefineLogicPin_din2,INTEGER16,rw,0,DefineLogicPin_din2,0,0,no,no,no,no,1,Variable,0
0x2027,0x00,DefineLogicPin_dout1,INTEGER16,rw,0,DefineLogicPin_dout1,0,0,no,no,no,no,1,Variable,0
0x2028,0x00,DefineLogicPin_dout2,INTEGER16,rw,0,DefineLogicPin_dout2,0,0,no,no,no,no,1,Variable,0
0x2029,0x00,DefineLogicPin_dout3,INTEGER16,rw,0,DefineLogicPin_dout3,0,0,no,no,no,no,1,Variable,0
0x202a,0x00,DefineLogicPin_dout4,INTEGER16,rw,0,DefineLogicPin_dout4,0,0,no,no,no,no,1,Variable,0
0x202b,0x00,DefineLogicPin_end1,INTEGER16,rw,0,DefineLogicPin_end1,0,0,no,no,no,no,1,Variable,0
0x202c,0x00,DefineLogicPin_end2,INTEGER16,rw,0,DefineLogicPin_end2,0,0,no,no,no,no,1,Variable,0
0x202d,0x00,DeviceAutoID.all,UNSIGNED32,ro,0,DeviceAutoID.all,0,0,no,no,no,no,0,Variable,0
0x202e,0x00,DeviceDCBus_Min,UNSIGNED32,rw,0,DeviceDCBus_Min,0,0,no,no,no,no,1,Variable,0
0x202f,0x00,DeviceExtRegenPower,UNSIGNED32,rw,0,DeviceExtRegenPower,0,0,no,no,no,no,1,Variable,0
0x2030,0x00,DeviceMains,UNSIGNED16,rw,0,DeviceMains,0,0,no,no,no,no,1,Variable,0
0x2031,0x00,serien_nummer,INTEGER32,rw,0,DeviceSerialNumber,0,0,no,no,no,no,1,Variable,0
0x2032,0x00,DigCutoff,UNSIGNED16,rw,0,DigCutoff,0,0,no,no,no,no,1,Variable,0
0x2033,0x00,em_regid_fun,INTEGER16,rw,0,em_regid_fun,0,0,no,no,no,no,1,Variable,0
0x2034,0x00,lookup_temp,INTEGER16,rw,0,lookup_temp,0,0,no,no,no,no,1,Variable,0
0x2035,0x00,lookup_temp,INTEGER16,rw,0,lookup_temp,0,0,no,no,no,no,1,Variable,0
0x2036,0x00,em_regid_fun,INTEGER16,rw,0,em_regid_fun,0,0,no,no,no,no,1,Variable,0
0x2037,0x00,em_regid_fun,INTEGER16,rw,0,em_regid_fun,0,0,no,no,no,no,1,Variable,0
0x2038,0x00,fun_demand,INTEGER16,rw,0,fun_demand,0,0,no,no,no,no,1,Variable,0
0x2039,0x00,I1_adc,UNSIGNED16,ro,0,I1_adc,0,0,no,no,no,no,0,Variable,0
0x203a,0x00,IqUp_16,INTEGER16,ro,0,IqUp_16,0,0,no,no,no,no,0,Variable,0
0x203b,0x00,I1_ist,INTEGER16,ro,0,I1_ist,0,0,no,no,no,no,0,Variable,0
0x203c,0x00,I3_ist_offset,INTEGER16,ro,0,I3_ist_offset,0,0,no,no,no,no,0,Variable,0
0x203d,0x00,USER_I_ti,UNSIGNED16,rw,0,USER_I_ti,0,0,no,no,no,no,1,Variable,0
